Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,9.242600,9.266270,8.979290,8.994080,7.279687,852774
2014-01-03,9.011830,9.038460,8.875740,8.911240,7.212636,2094924
2014-01-06,8.905320,9.094670,8.840240,8.958580,7.250954,1370590
2014-01-07,8.893490,9.091710,8.893490,8.952660,7.246161,1652482
2014-01-08,8.943790,9.020710,8.763310,8.798820,7.121646,2171988
2014-01-09,8.837280,8.869820,8.609470,8.639050,6.992330,2112500
2014-01-10,8.677510,8.801770,8.541420,8.585800,6.949233,1768754
2014-01-13,8.526630,8.689350,8.449700,8.461540,6.848656,2295358
2014-01-14,8.470410,8.639050,8.434910,8.609470,6.968390,1430078
2014-01-15,8.662720,8.677510,8.562130,8.562130,6.930073,1280682
2014-01-16,8.630180,8.695270,8.579880,8.579880,6.944438,1149876
2014-01-17,8.585800,8.612430,8.500000,8.505920,6.884578,1642004
2014-01-20,8.491120,8.541420,8.372780,8.402370,6.800766,447174
2014-01-21,8.372780,8.556210,8.363900,8.363900,6.769629,1193478
2014-01-22,8.378700,8.508870,8.328400,8.420120,6.815132,2007720
2014-01-23,8.428990,8.547340,8.224850,8.224850,6.657082,2346734
2014-01-24,8.204140,8.431950,8.180470,8.369820,6.774421,2446106
2014-01-27,8.363900,8.428990,8.284020,8.313610,6.728924,1654848
2014-01-28,8.366860,8.390530,8.272190,8.286980,6.707371,886574
2014-01-29,8.298820,8.467450,8.254440,8.322480,6.736103,815932
2014-01-30,8.289940,8.325440,8.136090,8.139050,6.587638,1163734
2014-01-31,8.142010,8.192310,8.062130,8.106510,6.561302,2753348
2014-02-03,8.106510,8.142010,8.047340,8.076920,6.537350,1692704
2014-02-04,8.079880,8.171600,8.059170,8.115380,6.568480,988312
2014-02-05,8.109470,8.127220,7.923080,8.047340,6.513410,1009944
2014-02-06,8.076920,8.210060,8.008870,8.210060,6.645113,1903278
2014-02-07,8.221890,8.286980,8.032540,8.136090,6.585243,1487538
2014-02-10,8.121300,8.162720,8.065090,8.130180,6.580460,1052870
2014-02-11,8.136090,8.328400,8.106510,8.313610,6.728924,1755910
2014-02-12,8.286980,8.630180,8.239640,8.491120,6.872598,2654314
2014-02-13,8.482250,8.668640,8.470410,8.579880,6.944438,1853930
2014-02-14,8.579880,8.831360,8.579880,8.792900,7.116852,2725632
2014-02-17,8.816570,8.934910,8.757400,8.934910,7.231797,1731912
2014-02-18,8.875740,8.914200,8.713020,8.760350,7.090511,2212886
2014-02-19,8.736690,8.869820,8.653850,8.813610,7.133617,1972230
2014-02-20,8.778110,8.964500,8.710060,8.857990,7.169536,1621048
2014-02-21,8.831360,8.955620,8.772190,8.860950,7.171934,1192126
2014-02-24,8.837280,8.902370,8.763310,8.769230,7.097697,1196520
2014-02-25,8.772190,8.804730,8.609470,8.618340,6.975567,1966484
2014-02-26,8.689350,9.165680,8.689350,8.893490,7.424851,2802020
2014-02-27,8.923080,9.106510,8.846150,8.902370,7.432267,823706
2014-02-28,8.926030,9.112430,8.914200,9.050290,7.555755,2697916
2014-03-05,9.032540,9.035500,8.887570,8.964500,7.484137,1099514
2014-03-06,8.991120,9.079880,8.991120,9.029580,7.538468,1250600
2014-03-07,9.056210,9.109470,8.863900,8.958580,7.479193,4445038
2014-03-10,8.982250,9.097630,8.769230,8.840240,7.380394,826072
2014-03-11,8.828400,8.934910,8.786980,8.855030,7.392742,1485848
2014-03-12,8.807690,8.934910,8.801770,8.934910,7.459432,3033888
2014-03-13,8.934910,8.952660,8.730770,8.813610,7.358163,1842438
2014-03-14,8.736690,8.905320,8.730770,8.875740,7.410032,1583192
