Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,5.590000,5.590000,5.446670,5.500000,3.889381,666000
2016-01-05,5.513330,5.586670,5.373330,5.466670,3.865812,1054200
2016-01-06,5.466670,5.466670,5.303330,5.373330,3.799807,433200
2016-01-07,5.366670,5.413330,5.220000,5.413330,3.828092,591300
2016-01-08,5.410000,5.743330,5.406670,5.613330,3.969524,820500
2016-01-11,5.666670,5.680000,5.360000,5.373330,3.799807,524400
2016-01-12,5.393330,5.613330,5.336670,5.596670,3.957743,521100
2016-01-13,5.600000,5.633330,5.420000,5.433330,3.842236,448200
2016-01-14,5.466670,5.513330,5.333330,5.333330,3.771520,345000
2016-01-15,5.343330,5.366670,5.220000,5.250000,3.712591,340800
2016-01-18,5.293330,5.380000,5.173330,5.380000,3.804523,207000
2016-01-19,5.396670,5.413330,5.190000,5.233330,3.700804,412800
2016-01-20,5.183330,5.240000,4.963330,4.990000,3.528730,2707800
2016-01-21,5.000000,5.000000,4.866670,4.866670,3.441516,768000
2016-01-22,4.930000,5.120000,4.900000,5.060000,3.578232,1441500
2016-01-26,5.063330,5.080000,4.970000,4.976670,3.519303,1213200
2016-01-27,4.993330,5.063330,4.930000,4.983330,3.524013,483600
2016-01-28,5.013330,5.046670,4.960000,5.000000,3.535801,466200
2016-01-29,5.013330,5.136670,5.013330,5.086670,3.597092,1304400
2016-02-01,5.120000,5.190000,5.050000,5.050000,3.571160,415200
2016-02-02,5.020000,5.303330,5.020000,5.303330,3.750305,654000
2016-02-03,5.300000,5.303330,5.083330,5.200000,3.677233,2057100
2016-02-04,5.230000,5.373330,5.136670,5.166670,3.653665,1164000
2016-02-05,5.203330,5.280000,5.166670,5.266670,3.724381,249000
2016-02-10,5.266670,5.273330,5.033330,5.033330,3.559371,524700
2016-02-11,5.046670,5.073330,4.983330,5.033330,3.559371,396900
2016-02-12,5.076670,5.076670,5.000000,5.016670,3.547591,192900
2016-02-15,5.056670,5.076670,4.950000,4.983330,3.524013,482100
2016-02-16,4.996670,5.160000,4.996670,5.150000,3.641875,574800
2016-02-17,5.150000,5.233330,5.053330,5.153330,3.644230,538800
2016-02-18,5.150000,5.223330,5.080000,5.223330,3.693732,344100
2016-02-19,5.200000,5.260000,5.153330,5.260000,3.719663,571200
2016-02-22,5.296670,5.366670,5.283330,5.293330,3.743233,332700
2016-02-23,5.310000,5.390000,5.260000,5.303330,3.750305,413700
2016-02-24,5.316670,5.316670,5.186670,5.200000,3.677233,299400
2016-02-25,5.233330,5.406670,5.190000,5.406670,3.823383,217200
2016-02-26,5.480000,5.480000,5.283330,5.373330,3.799807,604200
