Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,18.549999,18.610001,18.049999,18.150000,15.874274,832400
2016-01-05,18.150000,18.350000,17.770000,18.350000,16.049198,996600
2016-01-06,18.000000,18.350000,17.750000,17.750000,15.524428,1454100
2016-01-07,17.389999,17.389999,16.270000,16.620001,14.536112,1993600
2016-01-08,16.620001,16.850000,16.469999,16.820000,14.711035,1602900
2016-01-11,17.240000,17.620001,17.000000,17.250000,15.087120,964000
2016-01-12,17.600000,17.969999,17.209999,17.650000,15.436965,1917600
2016-01-13,17.889999,18.309999,17.850000,18.120001,15.848037,2131600
2016-01-14,18.230000,18.450001,17.920000,18.230000,15.944242,997300
2016-01-15,17.850000,17.940001,17.360001,17.700001,15.480698,1692900
2016-01-18,18.059999,18.930000,17.900000,18.930000,16.556477,1143700
2016-01-19,19.290001,19.480000,18.799999,19.100000,16.705158,1445300
2016-01-20,18.750000,19.170000,18.600000,19.000000,16.617701,1414900
2016-01-21,18.900000,19.030001,18.610001,18.750000,16.399044,2009300
2016-01-22,18.850000,19.629999,18.770000,19.490000,17.046259,1460400
2016-01-26,19.490000,19.809999,19.040001,19.780001,17.299898,1556100
2016-01-27,19.790001,20.860001,19.700001,20.639999,18.052065,2173000
2016-01-28,20.709999,20.860001,20.350000,20.860001,18.244482,1605700
2016-01-29,20.900000,21.490000,20.650000,21.320000,18.646807,2079900
2016-02-01,21.500000,21.590000,20.950001,21.340000,18.664297,1528200
2016-02-02,20.860001,21.010000,20.520000,20.700001,18.104546,1711500
2016-02-03,20.940001,20.940001,20.520000,20.780001,18.174515,1987900
2016-02-04,20.950001,21.799999,20.889999,21.500000,18.804237,1938200
2016-02-05,21.490000,21.990000,21.260000,21.860001,19.119099,1162400
2016-02-10,21.430000,21.980000,21.430000,21.950001,19.197815,1415900
2016-02-11,21.500000,21.629999,21.209999,21.500000,18.804237,1349500
2016-02-12,21.410000,21.570000,20.980000,21.299999,18.629314,932800
2016-02-15,21.770000,22.200001,21.440001,21.799999,19.066622,542300
2016-02-16,21.840000,22.080000,21.400000,22.080000,19.311514,1199300
2016-02-17,22.110001,22.639999,21.879999,22.209999,19.425215,1926200
2016-02-18,22.040001,22.270000,21.740000,22.100000,19.329006,1696000
2016-02-19,21.750000,22.260000,21.590000,22.219999,19.433958,1305300
2016-02-22,23.330000,23.450001,22.469999,23.120001,20.221115,2590900
2016-02-23,23.190001,23.190001,22.770000,22.959999,20.081173,2028700
2016-02-24,22.520000,22.520000,21.559999,21.700001,18.979160,2078900
2016-02-25,21.549999,22.150000,21.370001,22.150000,19.372738,6656800
2016-02-26,22.340000,22.790001,21.920000,22.270000,19.477690,1026900
2016-02-29,22.100000,22.809999,22.100000,22.610001,19.775061,1961600
2016-03-01,22.879999,23.080000,22.469999,22.910000,20.037445,2078500
2016-03-02,22.900000,23.129999,22.320000,22.700001,19.853775,3125100
2016-03-03,23.049999,23.600000,22.430000,23.219999,20.308575,2590900
2016-03-04,23.440001,23.950001,22.809999,22.850000,19.984966,3344100
2016-03-07,22.870001,23.270000,22.629999,22.799999,19.941235,1828300
2016-03-08,22.799999,23.020000,22.559999,22.889999,20.019951,2152700
2016-03-09,23.180000,23.180000,22.379999,22.790001,19.932491,1884900
2016-03-10,23.000000,23.170000,22.600000,22.950001,20.072430,2515400
2016-03-11,23.000000,23.070000,22.490000,22.950001,20.072430,2525900
2016-03-14,22.719999,23.170000,22.299999,22.549999,19.722584,2566600
2016-03-15,22.450001,22.660000,21.959999,22.360001,19.556408,1629000
2016-03-16,22.139999,22.629999,22.010000,22.600000,19.766314,2197900
2016-03-17,23.000000,23.250000,22.700001,23.120001,20.221115,4915700
2016-03-18,23.280001,23.650000,23.059999,23.150000,20.247351,2721200
2016-03-21,23.020000,23.360001,22.950001,23.250000,20.334814,1968000
2016-03-22,23.260000,23.480000,22.969999,23.040001,20.151144,1782800
2016-03-23,22.920000,22.940001,22.370001,22.799999,19.941235,992000
2016-03-24,22.799999,23.100000,22.250000,23.100000,20.203621,1702800
2016-03-28,23.850000,23.990000,23.639999,23.750000,20.772123,6289800
2016-03-29,23.840000,23.920000,23.650000,23.860001,20.868330,4389600
2016-03-30,24.000000,24.600000,23.799999,24.200001,21.165699,3807500
2016-03-31,24.080000,24.180000,23.540001,23.980000,20.973282,800
